name,involved,event_start_s,frequency_hz,amplitude_uv,seed
EEG R1,1,10360,28,260,20260924
EEG R2,0,0,0,0,20260924
EEG FD1,1,10366,29,248,20260924
EEG FD2,1,10372,30,236,20260924
EEG PA'5,1,10380,31,224,20260924
EEG PA'6,0,0,0,0,20260924
EEG PM3,1,10388,32,212,20260924
EEG PM4,0,0,0,0,20260924
EEG CC8,1,10397,33,200,20260924
EEG CC9,0,0,0,0,20260924
EEG A'1,1,10405,34,188,20260924
EEG A'2,0,0,0,0,20260924
EEG B1,1,10414,35,176,20260924
EEG B2,0,0,0,0,20260924
EEG C'1,0,0,0,0,20260924
EEG C'2,0,0,0,0,20260924
EEG D1,0,0,0,0,20260924
EEG D2,0,0,0,0,20260924
EEG E'1,0,0,0,0,20260924
EEG E'2,0,0,0,0,20260924
