life,det_gev,det_pot,lead_gev,lead_pot,xi_gev,xi_pot,fa_gev_healthy,fa_pot_healthy,unit
192,84,116.0,108,76.0,-0.34301355571362613,-2.014498216242659,False,False,1
287,153,197.0,134,90.0,0.06628269517692775,0.16466784342592047,False,False,2
179,75,87.0,104,92.0,-0.3484059154258359,-0.07578424471013928,False,False,3
189,84,87.0,105,102.0,-0.3922907864992739,-0.31288780191779786,False,False,4
269,72,124.0,197,145.0,-0.08216547770778383,-0.42545852662682776,False,False,5
188,69,87.0,119,101.0,-0.410955730424204,-1.3009334816348028,False,False,6
259,159,161.0,100,98.0,-0.24709076356497822,-0.16360856592606618,False,False,7
150,117,130.0,33,20.0,-0.32837139225128376,-0.05191949745204247,False,False,8
201,99,109.0,102,92.0,0.1093073315429402,-0.1983326319265267,False,False,9
222,108,116.0,114,106.0,-0.15488386857764994,-1.2748379810724189,False,False,10
240,123,142.0,117,98.0,-0.13656869330868796,-0.26146794824433917,False,False,11
170,105,123.0,65,47.0,-0.4751634691637766,-0.6791534625506652,False,False,12
163,78,90.0,85,73.0,-0.5177289907735756,-0.6293015566180045,False,False,13
180,105,109.0,75,71.0,0.0693761686084822,-0.356733050045141,False,False,14
207,87,132.0,120,75.0,-0.2418624933130996,-1.3279679248891316,False,False,15
209,159,168.0,50,41.0,-0.41413202263632903,-0.4721386950524097,False,False,16
276,114,132.0,162,144.0,-0.5525418082102072,-1.6420356558294196,False,False,17
195,90,98.0,105,97.0,-0.1400256227085924,-0.6175266938300314,False,False,18
158,126,120.0,32,38.0,-0.07978051849198317,-0.7263849976747951,False,False,19
234,135,142.0,99,92.0,-0.29971831250282,-1.4540429451227062,False,False,20
195,87,107.0,108,88.0,-0.05098686921919684,-0.6283214972668603,False,False,21
202,129,158.0,73,44.0,-0.37302714070081067,-1.532618251783663,False,False,22
168,117,127.0,51,41.0,0.018580166940182396,-0.2930858800773924,False,False,23
147,78,109.0,69,38.0,-0.2264903275737512,-0.027333616960987104,False,False,24
230,84,113.0,146,117.0,-0.013959286834106894,-0.2858721153629429,False,False,25
199,75,89.0,124,110.0,-1.0143745634354022,-1.3692880600444495,False,False,26
156,90,92.0,66,64.0,-0.30485646997327054,-1.2691179953116156,False,False,27
165,99,105.0,66,60.0,-0.49239568274653533,-1.627876379566636,True,False,28
163,114,113.0,49,50.0,-0.04482501788610384,-0.3795424181103835,False,False,29
194,132,127.0,62,67.0,-0.2676830271753904,-0.7987910192171551,False,False,30
234,165,155.0,69,79.0,0.10220253178037889,-1.5968415025133695,False,False,31
191,129,131.0,62,60.0,0.034100832560385014,-0.41606338132733384,False,False,32
200,63,102.0,137,98.0,-0.3606000151655531,-1.2997227163366771,False,False,33
195,90,99.0,105,96.0,-0.2652037643869044,-0.655510933225723,False,False,34
181,69,103.0,112,78.0,-0.6281280725180245,-1.4957698600826062,False,False,35
158,66,120.0,92,38.0,-0.23578719479501523,-1.4527058804653912,False,False,36
170,117,,53,,-0.0938389357393278,0.5783518583720685,False,False,37
194,114,113.0,80,81.0,0.14820859525662014,-0.3105650343201274,False,False,38
128,87,103.0,41,25.0,-0.08288005726764885,-0.17630029737395136,False,False,39
188,87,90.0,101,98.0,-0.30164020068960773,-0.3925386529281709,False,False,40
216,63,99.0,153,117.0,-0.5099534483979546,-2.118212824278279,False,False,41
196,60,131.0,136,65.0,-0.5122398462217603,-1.6406911291995032,False,False,42
207,111,170.0,96,37.0,-0.1041554404942642,0.7032569332345251,True,False,43
192,105,116.0,87,76.0,-0.09996938306254306,-1.3573930596674857,False,False,44
158,96,98.0,62,60.0,-0.397012561937757,-0.4940610551475437,False,False,45
256,165,178.0,91,78.0,0.023749019650021953,-0.51477063048548,False,False,46
214,99,134.0,115,80.0,-0.07379813713833075,-0.7013023022780465,False,False,47
231,93,108.0,138,123.0,-0.34723499622882403,-0.37355370405888555,False,False,48
215,141,160.0,74,55.0,-0.12226716750873506,-0.0027524286806583404,False,False,49
198,84,121.0,114,77.0,-0.2308298970115073,-0.38295671980051327,False,False,50
213,105,116.0,108,97.0,0.04665087091039813,-0.07960615173167249,False,False,51
213,102,131.0,111,82.0,-0.18686793588970566,-0.2415293015561671,False,False,52
195,81,111.0,114,84.0,-0.2622298281865451,-1.3049893527694976,False,False,53
257,60,136.0,197,121.0,-0.3422481572934295,-0.24202754962439577,False,False,54
193,81,95.0,112,98.0,-0.6907651655429186,-1.6218148122714502,True,False,55
275,102,112.0,173,163.0,-0.36436525565226485,-0.437099873104015,False,False,56
137,72,87.0,65,50.0,-0.3876247182379167,-2.759502508191689,False,False,57
147,81,102.0,66,45.0,-0.22872529306579803,-0.4881957221517518,False,False,58
231,123,76.0,108,155.0,-0.07278575518987937,-0.4514358104505596,False,False,59
172,93,97.0,79,75.0,-0.07306707616436237,-0.5139596544570154,False,False,60
185,111,133.0,74,52.0,-0.2895211187660792,0.05263281692960402,False,False,61
180,96,123.0,84,57.0,-0.4010023059085852,-2.0564290269481313,False,False,62
174,69,83.0,105,91.0,-0.43473160015516354,-1.3021260346833836,True,False,63
283,105,135.0,178,148.0,-0.35747160828808244,-1.7293547474875375,False,False,64
153,96,105.0,57,48.0,-0.11318660442936873,-0.6060192595856266,False,False,65
202,114,133.0,88,69.0,-0.09904111852428314,-0.284093229293796,False,False,66
313,219,223.0,94,90.0,-0.14439897105474309,-1.4657215301475173,False,False,67
199,90,112.0,109,87.0,-0.02319008143985838,-0.174471274545739,False,False,68
362,252,245.0,110,117.0,0.0842144704738417,-0.6495001083704777,True,False,69
137,78,93.0,59,44.0,-0.7209137504385892,-2.0226654923372474,False,False,70
208,90,102.0,118,106.0,-0.21061964333947514,-0.33303747171627085,True,False,71
213,78,146.0,135,67.0,-0.5047936125409267,-0.69547728760133,False,False,72
213,159,160.0,54,53.0,-0.23434454294826756,-0.694611495375435,False,False,73
166,108,112.0,58,54.0,-0.31482387008523316,-0.5327341129726728,False,False,74
229,108,162.0,121,67.0,-0.0006571222840307692,-0.14290970873553305,False,False,75
210,135,151.0,75,59.0,-0.014740639995350285,-1.6026983317698347,False,False,76
154,93,104.0,61,50.0,-0.42721990818909616,-0.6167325463637066,True,False,77
231,144,158.0,87,73.0,-0.10088959746890563,-0.5699242714351198,False,False,78
199,84,112.0,115,87.0,-0.6226277797485231,-1.3530701387462432,False,False,79
185,114,106.0,71,79.0,0.2824158892763097,-0.7117985061558547,False,False,80
240,162,180.0,78,60.0,-0.2886166118268602,-0.423493506096254,False,False,81
214,111,110.0,103,104.0,0.10927364912561574,-1.5976707373118204,False,False,82
293,153,219.0,140,74.0,-0.25612122072947907,0.10964570576663357,True,False,83
267,99,134.0,168,133.0,-0.2163791977626653,-0.5939125634373541,False,False,84
188,126,121.0,62,67.0,-0.20815361228507462,-1.6736579408793335,False,False,85
278,147,229.0,131,49.0,-0.04223612405375626,0.35002524752970415,False,False,86
178,117,119.0,61,59.0,-0.11430647197304303,-0.3276177710156859,False,False,87
213,111,106.0,102,107.0,-0.22961902654926886,-1.7146905103632184,False,False,88
