seed,features,split,model,graph,auprc,macro_f1,auroc
0,normalized,group,gat,physical,0.9437092672634972,0.904277602672831,0.986894468999278
0,normalized,group,mlp,-,0.9178043263160228,0.8987245744790526,0.9794896703391306
0,normalized,group,lr,-,0.9368115615330082,0.9067322818076204,0.9852381427545632
0,normalized,random,gat,physical,0.9630768135615771,0.9186082795922612,0.9914455264223704
0,normalized,random,mlp,-,0.984432999408286,0.9597776207889754,0.9964715388934868
0,normalized,random,lr,-,0.9608272852070948,0.9308801138722732,0.9910866932367576
0,raw,group,gat,physical,0.8648756357687103,0.8283640965284655,0.9561399801604772
0,raw,group,mlp,-,0.9139625614875744,0.8695892800766882,0.9768775643170332
0,raw,group,lr,-,0.911487248123924,0.8831325794568452,0.9753023375027636
0,raw,random,gat,physical,0.8689205575880484,0.8423382820784729,0.9587175528907202
0,raw,random,mlp,-,0.9257323610009104,0.8773369229946615,0.9803647419981568
0,raw,random,lr,-,0.9167677951559852,0.886656766972456,0.9774179663119422
0,normalized,group,gat,functional,0.9471408388017016,0.8976724445845152,0.9874490560574132
0,normalized,group,gat,knn,0.9450864734658566,0.8908116170841431,0.9870213519441364
0,normalized,group,gat,empty,0.9461706995102824,0.8960283991742166,0.9871453978763493
1,normalized,group,gat,physical,0.941688426088438,0.9055982155791602,0.9865114722921692
1,normalized,group,mlp,-,0.9172022985906356,0.8937172448260705,0.9794198211312442
1,normalized,group,lr,-,0.9368115615330082,0.9067322818076204,0.9852381427545632
1,normalized,random,gat,physical,0.955010104661164,0.9138576931131668,0.9899518881786574
1,normalized,random,mlp,-,0.9815420985666428,0.9594210446026812,0.9961806961833376
1,normalized,random,lr,-,0.9596107306680098,0.9301842932083442,0.990771491349068
1,raw,group,gat,physical,0.8501426712174228,0.8317941285451573,0.9485676999262376
1,raw,group,mlp,-,0.915025713025499,0.8683234180114279,0.976506796112706
1,raw,group,lr,-,0.911487248123924,0.8831325794568452,0.9753023375027636
1,raw,random,gat,physical,0.8576446551206378,0.8400631776344372,0.9526756942365598
1,raw,random,mlp,-,0.9131883965166516,0.8512267615518755,0.9772412889037588
1,raw,random,lr,-,0.9176771091053376,0.8868228986835451,0.9776680147368132
1,normalized,group,gat,functional,0.9401522957697932,0.8997716178533434,0.9854703864793848
1,normalized,group,gat,knn,0.9419505277226184,0.9035441773838182,0.9864639278733558
1,normalized,group,gat,empty,0.9492977810617194,0.9037367981681576,0.987640994637068
2,normalized,group,gat,physical,0.9399470712943016,0.9131857785202044,0.9863563170488808
2,normalized,group,mlp,-,0.9115558539174934,0.8963899320799511,0.9780359459284954
2,normalized,group,lr,-,0.9368115615330082,0.9067322818076204,0.9852381427545632
2,normalized,random,gat,physical,0.9592491551009094,0.9169368510450576,0.9908910371922576
2,normalized,random,mlp,-,0.984369282746294,0.9616355747309588,0.9968118825828944
2,normalized,random,lr,-,0.9594232095256984,0.926535842057143,0.990754273617152
2,raw,group,gat,physical,0.8497454546399499,0.8298412859984864,0.9502585594628068
2,raw,group,mlp,-,0.9107732399992782,0.8809620019008877,0.9759712855189092
2,raw,group,lr,-,0.911487248123924,0.8831325794568452,0.9753023375027636
2,raw,random,gat,physical,0.8641579560716653,0.8375537734364089,0.955660231539363
2,raw,random,mlp,-,0.922195547088364,0.8797817211500815,0.9796333797038158
2,raw,random,lr,-,0.9179522548883574,0.8874330178281082,0.977971868573922
2,normalized,group,gat,functional,0.9362135496433358,0.8893167564176881,0.985350449324106
2,normalized,group,gat,knn,0.9465728464787252,0.9045944476167168,0.9873153251509976
2,normalized,group,gat,empty,0.950253652273894,0.8997213455347658,0.9881428523912104
