seed,features,split,model,graph,auprc,macro_f1,auroc
0,normalized,group,gat,physical,0.9437092672634972,0.904277602672831,0.986894468999278
0,normalized,group,mlp,-,0.9178043263160228,0.8987245744790526,0.9794896703391306
0,normalized,group,lr,-,0.9368115615330082,0.9067322818076204,0.9852381427545631
0,normalized,random,gat,physical,0.9630768135615773,0.9186082795922613,0.9914455264223705
0,normalized,random,mlp,-,0.9844329994082861,0.9597776207889754,0.9964715388934869
0,normalized,random,lr,-,0.9608272852070949,0.9308801138722731,0.9910866932367575
0,raw,group,gat,physical,0.8648756357687103,0.8283640965284655,0.9561399801604771
0,raw,group,mlp,-,0.9139625614875744,0.8695892800766882,0.9768775643170331
0,raw,group,lr,-,0.911487248123924,0.8831325794568452,0.9753023375027635
0,raw,random,gat,physical,0.8689205575880484,0.8423382820784729,0.9587175528907202
0,raw,random,mlp,-,0.9257323610009104,0.8773369229946615,0.9803647419981569
0,raw,random,lr,-,0.9167677951559853,0.886656766972456,0.9774179663119422
0,normalized,group,gat,functional,0.9471408388017016,0.8976724445845152,0.9874490560574133
0,normalized,group,gat,knn,0.9450864734658566,0.8908116170841431,0.9870213519441363
0,normalized,group,gat,empty,0.9461706995102825,0.8960283991742166,0.9871453978763493
