seed,features,split,model,graph,auprc,macro_f1,auroc
1,normalized,group,gat,physical,0.941688426088438,0.9055982155791602,0.9865114722921693
1,normalized,group,mlp,-,0.9172022985906357,0.8937172448260705,0.9794198211312442
1,normalized,group,lr,-,0.9368115615330082,0.9067322818076204,0.9852381427545631
1,normalized,random,gat,physical,0.9550101046611641,0.9138576931131668,0.9899518881786574
1,normalized,random,mlp,-,0.9815420985666428,0.9594210446026812,0.9961806961833376
1,normalized,random,lr,-,0.9596107306680098,0.9301842932083442,0.9907714913490681
1,raw,group,gat,physical,0.8501426712174228,0.8317941285451573,0.9485676999262376
1,raw,group,mlp,-,0.915025713025499,0.8683234180114279,0.9765067961127059
1,raw,group,lr,-,0.911487248123924,0.8831325794568452,0.9753023375027635
1,raw,random,gat,physical,0.8576446551206378,0.8400631776344372,0.9526756942365598
1,raw,random,mlp,-,0.9131883965166516,0.8512267615518755,0.9772412889037587
1,raw,random,lr,-,0.9176771091053375,0.8868228986835451,0.9776680147368132
1,normalized,group,gat,functional,0.9401522957697932,0.8997716178533434,0.9854703864793847
1,normalized,group,gat,knn,0.9419505277226183,0.9035441773838182,0.9864639278733558
1,normalized,group,gat,empty,0.9492977810617194,0.9037367981681577,0.9876409946370679
2,normalized,group,gat,physical,0.9399470712943016,0.9131857785202045,0.9863563170488808
2,normalized,group,mlp,-,0.9115558539174934,0.8963899320799511,0.9780359459284954
2,normalized,group,lr,-,0.9368115615330082,0.9067322818076204,0.9852381427545631
2,normalized,random,gat,physical,0.9592491551009094,0.9169368510450575,0.9908910371922575
2,normalized,random,mlp,-,0.984369282746294,0.9616355747309587,0.9968118825828945
2,normalized,random,lr,-,0.9594232095256983,0.926535842057143,0.990754273617152
2,raw,group,gat,physical,0.8497454546399499,0.8298412859984864,0.9502585594628068
2,raw,group,mlp,-,0.9107732399992782,0.8809620019008877,0.9759712855189091
2,raw,group,lr,-,0.911487248123924,0.8831325794568452,0.9753023375027635
2,raw,random,gat,physical,0.8641579560716653,0.8375537734364089,0.955660231539363
2,raw,random,mlp,-,0.922195547088364,0.8797817211500815,0.9796333797038158
2,raw,random,lr,-,0.9179522548883574,0.8874330178281082,0.9779718685739219
2,normalized,group,gat,functional,0.9362135496433358,0.8893167564176881,0.9853504493241061
2,normalized,group,gat,knn,0.9465728464787252,0.9045944476167169,0.9873153251509976
2,normalized,group,gat,empty,0.950253652273894,0.8997213455347658,0.9881428523912104
