unit,life,agree_hpc_signature,source_sig,cascade_source,z_Nf,z_NRf,z_BPR,z_P30,first3,occl_fan_per_node,occl_hpc_per_node,gnn_source
1,259,1.0,HPC,HPC,7.420344432877256,7.2396043233161445,4.240291880441047,-5.863653074860834,"s3,s8,s4",0.022183727473020554,-0.10345696657896042,Fan
2,253,0.0,Fan,HPC,14.509506656755871,14.42564405317575,-6.773992082134425,31.364717849200467,"s12,s7,s8",1.8896267414093018,-0.16373680531978607,Fan
3,222,1.0,HPC,HPC,5.3573417992544,5.579401669874388,4.549900415412559,-5.708638449897184,"s14,s4,s9",-0.15829966962337494,0.2434222549200058,HPC
4,272,1.0,HPC,Fan,5.6968576011682215,4.320771720700664,3.2759955091149497,-4.3009249599940835,"s13,s3,s7",0.18974685668945312,0.2986048460006714,HPC
5,213,1.0,HPC,HPC,2.8873787228702095,2.5992270439697776,3.5053662841179913,-5.556460812168188,"s20,s14,s9",-0.26274967193603516,0.44515806436538696,HPC
6,278,1.0,HPC,HPC,5.189803190264736,4.5106246755191854,4.0242257281585205,-5.9932397722489394,"s21,s11,s12",-0.13449782133102417,0.21799655258655548,HPC
7,424,0.0,Fan,Fan,21.048229193042427,16.977866061921528,-6.9798974597777,26.804748087920412,"s15,s8,s14",2.228490114212036,0.39398619532585144,Fan
8,267,1.0,HPC,HPC,2.9801811476165163,3.2607137138606657,3.4295819188890797,-4.2224033194490165,"s14,s9,s11",0.36613181233406067,0.7603800296783447,HPC
9,406,0.0,Fan,Fan,12.694959273280316,14.986060263273528,-4.610888392850399,27.20932374376504,"s13,s12,s7",0.5293686389923096,-0.20777694880962372,Fan
10,481,0.0,Fan,HPC,1.9253955385238648,1.9617117373046846,-5.6819507713080935,14.02176550532622,"s9,s14,s12",0.628273069858551,-0.46558108925819397,Fan
11,197,0.0,Fan,HPC,12.999176443262726,12.683858127935014,-7.243715413742891,27.763230280400602,"s12,s7,s9",1.0114446878433228,-0.45097145438194275,Fan
12,170,1.0,HPC,HPC,5.1307876922228814,4.851965162373565,4.7012034055459955,-4.44174421810478,"s11,s12,s8",0.37334343791007996,0.1312093585729599,Fan
13,185,1.0,HPC,HPC,1.1625247802950986,1.1774523451275942,2.922549410131713,-3.1574963752834466,"s14,s9,s7",-0.13681760430335999,1.3993808031082153,HPC
14,207,1.0,HPC,Fan,7.957658705003559,7.644789871025689,5.780097060446095,-6.983869146305845,"s13,s11,s12",-0.03483470901846886,0.44312378764152527,HPC
15,202,1.0,HPC,HPC,4.40531186885062,3.6575275069422877,4.121778591995625,-4.052444103242607,"s21,s9,s7",0.5970017313957214,0.5934928059577942,Fan
16,344,0.0,Fan,HPC,12.295907756570527,16.03686128141121,-6.488865638896111,27.063597071549335,"s12,s7,s13",1.0844115018844604,0.3170222043991089,Fan
17,312,0.0,Fan,HPC,2.278659760757653,2.3984379087011023,-5.241890726212429,14.325838311628893,"s12,s14,s9",1.0254120826721191,0.4003974497318268,Fan
18,447,0.0,Fan,HPC,2.4401798545691475,2.4439737598501683,-6.550699273630879,14.552977598288999,"s9,s12,s7",1.119741678237915,0.5861040949821472,Fan
19,229,0.0,Fan,HPC,11.549271023568922,12.014086428586618,-5.599960542649829,20.362933625598117,"s12,s7,s9",1.2844083309173584,0.04102160036563873,Fan
20,338,0.0,Fan,HPC,12.738829265469606,11.302994987644848,-6.646249106330618,23.804355681549314,"s12,s7,s8",1.5633244514465332,0.7350907921791077,Fan
21,220,0.0,Fan,HPC,15.784172311793398,15.533730040699313,-5.7999224252917765,29.659080228611174,"s7,s12,s13",1.5304672718048096,-0.4538457989692688,Fan
22,192,1.0,HPC,Fan,6.381933617589042,6.257082137555049,4.688483147072709,-5.981019625613564,"s4,s20,s15",-0.2371959239244461,-0.034684423357248306,HPC
23,196,1.0,HPC,Fan,8.94478232072176,7.475931156068393,4.923778427322412,-5.714114859011506,"s13,s7,s11",-0.2643219530582428,0.05265475809574127,HPC
24,494,0.0,Fan,Fan,4.96706226036638,4.917930546643205,-7.190154434468277,25.62896672825622,"s13,s4,s9",0.3920581638813019,-0.019706422463059425,Fan
25,193,1.0,HPC,HPC,4.083542184018947,4.195568634718259,4.982224749706635,-4.989724018516762,"s14,s9,s12",0.06770004332065582,1.4477671384811401,HPC
