seed,split,model,graph,auroc,auprc
0,random,gat,structural,0.9392109500805154,0.9035706365458256
0,random,gat,functional,0.8880837359098228,0.9052051203885051
0,random,gat,knn,0.9182769726247987,0.9369138750368288
0,random,gat,empty,0.9243156199677939,0.9504584747483351
0,random,mlp,-,0.9319645732689211,0.9457115040984453
0,random,lr,-,0.927938808373591,0.9450094486049593
0,shaft,gat,structural,0.8663446054750402,0.8304533333220411
0,shaft,gat,functional,0.8113929146537843,0.7575064485848265
0,shaft,gat,knn,0.8731884057971014,0.9070487369960538
0,shaft,gat,empty,0.8675523349436393,0.8269853186764798
0,shaft,mlp,-,0.8713768115942029,0.8510325306533867
0,shaft,lr,-,0.8792270531400967,0.874682860707273
1,random,gat,structural,0.9267310789049918,0.8629754795543844
1,random,gat,functional,0.8808373590982287,0.8263802227674037
1,random,gat,knn,0.8538647342995168,0.8350302823724792
1,random,gat,empty,0.8880837359098228,0.8423023027008729
1,random,mlp,-,0.9178743961352657,0.9036350981763988
1,random,lr,-,0.8860708534621579,0.8693204868175521
1,shaft,gat,structural,0.8582930756843801,0.847419299590602
1,shaft,gat,functional,0.8431964573268922,0.7815572357908159
1,shaft,gat,knn,0.8450080515297906,0.8352615229052409
1,shaft,gat,empty,0.8683574879227054,0.8272930006620249
1,shaft,mlp,-,0.873389694041868,0.8559855842569194
1,shaft,lr,-,0.8792270531400967,0.874682860707273
2,random,gat,structural,0.9396135265700484,0.9534856098699311
2,random,gat,functional,0.8582930756843801,0.8786916705101866
2,random,gat,knn,0.8965378421900162,0.9243445285743663
2,random,gat,empty,0.9066022544283414,0.9373524394376491
2,random,mlp,-,0.8997584541062801,0.9217763158774008
2,random,lr,-,0.9066022544283414,0.9333493916461422
2,shaft,gat,structural,0.8788244766505636,0.8286091651824283
2,shaft,gat,functional,0.8250805152979066,0.7736531765064266
2,shaft,gat,knn,0.8756038647342995,0.9020122000754276
2,shaft,gat,empty,0.8659420289855073,0.8281132657961472
2,shaft,mlp,-,0.8764090177133657,0.8340669680324325
2,shaft,lr,-,0.8792270531400967,0.874682860707273
