shaft,footprint,residual_z,latency_min,gnn,n,early10_share,n_early10
CC,0.7,-0.42880258,17.30500000000029,0.35519758209896585,10,0.0,0.0
CC',0.6888888888888889,0.96988505,15.805000000000291,0.908367363611857,10,0.1,1.0
CR',0.5933333333333334,-0.1367966,11.055000000000291,0.8503878980875015,10,0.1,1.0
FD,0.5407407407407407,-1.4925038,,0.019250466514171824,6,0.0,0.0
FP,0.7111111111111111,-1.3973186,,0.07651870944634236,8,0.0,0.0
PA,0.7911111111111111,-0.07750144,20.55500000000029,0.3876486358933798,10,0.0,0.0
PA',0.8611111111111112,2.6080008,18.55500000000029,0.7707642863194147,8,0.0,0.0
PM,0.7333333333333333,-0.2288598,21.80500000000029,0.04459425814760228,8,0.0,0.0
PM',0.5851851851851851,-0.9339521,17.05500000000029,0.8500915335284339,6,0.0,0.0
R,0.7444444444444445,-1.3563993,28.05500000000029,0.06821688177684943,10,0.0,0.0
SA,0.9037037037037038,2.3676994,17.05500000000029,0.9851319326294794,6,0.0,0.0
SA',0.9194444444444445,3.2156484,12.805000000000291,0.9939120908578237,8,0.5,4.0
