delta,theta,alpha,beta,gamma,bb_std,linelen,ac1,dfa,corr_cm,skew,name,shaft,involved
8.252899,7.7670875,6.987864,6.4859424,5.39472,0.6967566,1.1522009,0.9862613,0.9784718,0.8907841,-0.3455671,R1,R,1
8.373037,7.9171,7.1476965,6.6254783,5.4233646,0.77170485,1.2492117,0.9854207,1.0015678,0.8814126,-0.4094193,R2,R,0
8.326791,7.8937726,7.0833793,6.498615,5.180173,0.7726434,1.2138233,0.98596424,0.99227405,0.8978241,-0.38528836,R3,R,0
8.212988,7.80757,7.0239677,6.4958167,5.178692,0.7309363,1.1549278,0.98558044,0.971944,0.9090243,-0.32870698,R4,R,0
8.069251,7.6828294,6.9795494,6.5743675,5.505264,0.6511084,1.1198702,0.9836251,0.9622813,0.929477,-0.24337102,R5,R,0
8.429697,7.9672565,7.257431,6.7710896,5.558809,0.73753405,1.2436147,0.98508114,0.96347016,0.88281536,-0.36673558,R6,R,0
8.480554,7.983625,7.2762036,6.808675,5.7096643,0.7533991,1.2834072,0.985005,0.96579516,0.8820434,-0.35648188,R7,R,0
8.471238,7.8310943,7.085756,6.6940002,5.7721434,0.73639274,1.2404902,0.9852055,0.9679189,0.88063926,-0.3724374,R8,R,0
8.474488,7.9490976,7.207235,6.7583294,5.4318514,0.72586465,1.2668214,0.986006,0.9867022,0.8793725,-0.49284378,R9,R,0
8.01077,7.6047945,6.8723903,6.443476,5.2980003,0.58792377,1.0738132,0.9846593,0.97836876,0.8956388,-0.06261198,R10,R,0
8.200134,7.712044,6.906995,6.4261303,5.2616267,0.64241195,1.0968236,0.98607284,0.981522,0.924935,-0.02402307,FP1,FP,0
8.641043,8.098502,7.3436575,6.8704123,5.548934,0.7007688,1.3486824,0.98683417,0.9844721,0.85139066,-0.6648365,FP2,FP,0
8.678319,8.100092,7.2981186,6.7119517,5.2910886,0.73326075,1.3282375,0.98802596,1.0111973,0.859724,-0.6525132,FP3,FP,0
8.861477,8.228508,7.440012,6.899772,5.4339204,0.66633046,1.3971777,0.9887577,1.0090184,0.82574296,-0.85597724,FP4,FP,0
8.992099,8.334104,7.635753,7.1817966,5.6322317,0.62126803,1.4797783,0.98815715,0.99773467,0.7800247,-1.1666007,FP5,FP,0
8.154791,7.7294903,7.074192,6.650379,5.4312677,0.6091043,1.1341772,0.98478067,1.0117745,0.9199191,-0.083685674,FP6,FP,0
8.099252,7.6625876,6.9999976,6.598197,5.481157,0.61996114,1.1123402,0.9842523,0.89187,0.8948619,-0.15097837,FP7,FP,0
7.9967775,7.6568866,6.93634,6.4173584,5.2946005,0.67362434,1.0859964,0.9845459,1.0268681,0.94038,-0.06864959,FP8,FP,0
8.40483,7.8539677,7.1343665,6.674739,5.6513443,0.69524294,1.2143515,0.9845544,0.9341686,0.8875183,-0.24227728,FD1,FD,0
8.614843,8.00121,7.2818727,6.7875924,5.4652357,0.6641889,1.3098449,0.98691356,0.92290556,0.8143218,-0.67258656,FD2,FD,0
8.5676985,8.1242285,7.432991,6.927551,5.412825,0.74943316,1.376922,0.98607075,1.0158862,0.85127455,-0.57040644,FD3,FD,0
8.386227,7.973814,7.2730703,6.852824,5.492192,0.7166522,1.3041936,0.9851096,1.0253297,0.86185485,-0.455196,FD4,FD,0
8.546757,8.043891,7.3465776,6.9307256,5.570721,0.6391861,1.3314167,0.98621744,0.97075784,0.84100366,-0.5415739,FD5,FD,0
7.9066076,7.652457,6.880845,6.43206,5.266362,0.66902316,1.0612061,0.9842235,0.98993146,0.9496539,0.26686296,FD6,FD,0
8.404651,7.7984443,6.952942,6.339533,5.391316,0.5680546,1.1551547,0.98803955,0.9108581,0.86334014,-0.37339386,PM1,PM,1
8.53707,8.033598,7.2236185,6.514741,5.3915963,0.6523057,1.288547,0.9878382,0.99174976,0.8670425,-0.52694714,PM2,PM,0
8.600999,8.015864,7.2303214,6.588376,5.324603,0.58237416,1.2747431,0.9884715,0.9903083,0.84466517,-0.6102219,PM3,PM,0
8.231313,7.9398932,7.3689656,6.890298,5.643463,0.42085254,1.2298839,0.9838965,0.84392834,0.7094298,0.17878953,PM4,PM,0
8.864146,8.217618,7.5457783,7.0220294,5.784272,0.46013972,1.3848653,0.98797405,0.9686182,0.75260013,-1.1449605,PM5,PM,0
8.89489,8.332664,7.609428,6.998404,5.737705,0.48766786,1.4146268,0.9884371,0.96696675,0.77760565,-0.87179595,PM6,PM,0
9.040452,8.392506,7.6452823,7.064178,5.7462626,0.41406128,1.4478942,0.98883164,0.96563184,0.71095276,-1.0248797,PM7,PM,0
8.13516,7.706851,7.0778136,6.6092978,5.397872,0.5448194,1.1151179,0.98526275,0.9740936,0.91525626,0.15642616,PM8,PM,0
7.526027,7.3229146,6.485766,5.936406,5.077479,0.6217032,0.8764407,0.98449296,0.95513195,0.93234354,0.3383386,CC1,CC,1
7.948713,7.6856194,6.8212385,6.1669683,5.142382,0.58436584,1.0443648,0.9869088,0.94506925,0.91142786,-0.1111819,CC2,CC,1
8.054346,7.718388,6.8431396,6.1649933,5.137521,0.61255264,1.0675234,0.98726386,0.9855289,0.91025656,-0.2397979,CC3,CC,1
8.114213,7.7258334,6.871675,6.117197,4.947939,0.65550655,1.0965973,0.9877051,1.0012233,0.9090951,-0.39796466,CC4,CC,0
8.23828,7.8143444,6.979054,6.191512,4.9935822,0.6563707,1.1535403,0.9879179,1.0037881,0.8951365,-0.4908025,CC5,CC,0
8.451391,7.9923797,7.208671,6.4011254,5.1849194,0.6016834,1.2352968,0.9884013,1.0228273,0.86669976,-0.61167246,CC6,CC,0
8.70226,8.251889,7.5574765,6.7296557,5.3724995,0.5370695,1.3625935,0.9886035,1.0501041,0.8204672,-0.7887096,CC7,CC,0
8.878319,8.56155,7.92879,7.095867,5.651466,0.46819866,1.5035979,0.9878097,1.0578505,0.77667046,-0.8900205,CC8,CC,0
8.841692,8.471783,7.982092,7.3408136,5.9329333,0.396576,1.4962994,0.98575956,1.032528,0.7395025,-1.2183567,CC9,CC,0
8.908343,8.86228,8.392979,7.7087545,6.264962,0.34120193,1.6585695,0.98215026,1.0307459,0.6671378,-1.2724329,CC10,CC,0
7.5556827,7.5162077,6.8964396,6.3452096,5.337326,0.5906941,1.0288019,0.9808336,0.91432947,0.90729606,0.6634498,SA1,SA,1
7.7971644,7.66838,6.9082694,6.4408154,5.5145407,0.54815876,1.0751792,0.9830961,0.8687813,0.85225606,0.4310273,SA2,SA,1
7.8544955,7.7588243,6.9224873,6.3151565,5.4563794,0.5550549,1.0759479,0.9842819,0.8653323,0.84208965,0.32979628,SA3,SA,1
7.781373,7.778701,6.9300814,6.270397,5.3851304,0.5378023,1.07527,0.9843203,0.89460653,0.8533411,0.5661127,SA4,SA,1
7.9034004,7.824329,6.986014,6.350584,5.430946,0.51694804,1.0993383,0.9850769,0.8911626,0.8461908,0.6048033,SA5,SA,1
7.933817,7.686012,6.868385,6.2757607,5.3190484,0.5555876,1.0428305,0.9856866,0.9316207,0.90124834,0.54753804,SA6,SA,1
7.996715,7.6426682,7.1219573,6.4803452,5.2733116,0.5659893,1.07527,0.9843016,0.9032127,0.90760505,0.15858407,PA1,PA,1
8.04667,7.658245,7.153559,6.560989,5.388275,0.54493076,1.1117426,0.98429585,0.9149574,0.8853211,0.1330189,PA2,PA,1
8.022658,7.609919,7.085425,6.563837,5.444593,0.542331,1.0821935,0.98433346,0.95771384,0.92843455,0.34494326,PA3,PA,1
8.361786,7.818176,7.2471294,6.5788703,5.397597,0.52903837,1.1686386,0.98750705,0.98673785,0.83106184,-0.06468981,PA4,PA,1
8.407279,7.879307,7.363197,6.697754,5.4463377,0.5451418,1.2224987,0.98700666,0.8950516,0.83885425,-0.18917258,PA5,PA,0
8.340725,7.7996235,7.304207,6.7115397,5.4250717,0.5212638,1.1967388,0.98670727,0.9164228,0.85567415,-0.26480228,PA6,PA,0
7.8729553,7.5116277,6.9254923,6.370636,5.280644,0.60151404,1.0216851,0.9837285,0.9270274,0.90609264,0.30028784,PA7,PA,0
7.7797236,7.4765615,6.753869,6.1537075,5.2161202,0.6792813,0.9683437,0.9800026,0.9078282,0.8373134,0.4181145,PA8,PA,1
7.995337,7.3709455,6.5868216,6.0232615,5.3182354,2.07928,1.0166323,0.96601224,0.5194272,0.32227528,-5.5762525,PA9,PA,1
7.845944,7.515802,6.6454105,5.90462,5.3221407,0.6865134,0.969273,0.983647,0.98547345,0.9554308,0.28249738,PA10,PA,1
7.621279,7.3063593,6.460067,6.0446253,5.1525836,0.68936497,0.87305635,0.9837197,0.943661,0.920564,0.48533905,CR'1,CR',1
7.159726,6.978905,6.425371,6.0580864,5.0294137,0.6181853,0.774394,0.9780304,0.9402619,0.89995134,0.4221475,CR'2,CR',1
7.026521,6.7740965,6.206625,5.8731747,4.9524384,0.6580794,0.69335216,0.9766241,0.95490897,0.90199786,0.4581476,CR'3,CR',1
