seed,split,model,graph,episode,auroc,auprc,pos_frac
0,random,gat,sector,2015-08,0.6608446410168327,0.8288229629305082,0.6978723404255319
0,random,gat,sector,2016-06,0.773676320023402,0.7809407732572416,0.548936170212766
0,random,gat,sector,2016-09,0.7948551426558648,0.6719579703815539,0.28936170212765955
0,random,gat,sector,2018-02,0.6888828089375285,0.722019605030137,0.5425531914893617
0,random,gat,functional,2015-08,0.671225523874957,0.8147245214981955,0.6978723404255319
0,random,gat,functional,2016-06,0.811375603334796,0.8075224498031781,0.548936170212766
0,random,gat,functional,2016-09,0.7734457555477281,0.656553392789264,0.28936170212765955
0,random,gat,functional,2018-02,0.7210761513907888,0.7624645627139552,0.5425531914893617
0,random,gat,knn,2015-08,0.7190398488491927,0.8327046703657622,0.6978723404255319
0,random,gat,knn,2016-06,0.7876078689483692,0.8195417583899487,0.548936170212766
0,random,gat,knn,2016-09,0.7644196900317013,0.5988360704821939,0.28936170212765955
0,random,gat,knn,2018-02,0.7310533515731874,0.7682335953957404,0.5425531914893617
0,random,gat,empty,2015-08,0.7217021642047406,0.8516829432897813,0.6978723404255319
0,random,gat,empty,2016-06,0.8109733801374872,0.8406513691975853,0.548936170212766
0,random,gat,empty,2016-09,0.7687566044381825,0.6056997129421201,0.28936170212765955
0,random,gat,empty,2018-02,0.7611126310989512,0.7791108075737968,0.5425531914893617
0,random,mlp,-,2015-08,0.7223248024733769,0.8424865234289907,0.6978723404255319
0,random,mlp,-,2016-06,0.8014114377651016,0.8214246545122741,0.548936170212766
0,random,mlp,-,2016-09,0.7576171187037688,0.609729599455739,0.28936170212765955
0,random,mlp,-,2018-02,0.7623164614683083,0.7739663444591947,0.5425531914893617
0,random,lr,-,2015-08,0.7124699416008244,0.8211945366052504,0.6978723404255319
0,random,lr,-,2016-06,0.7936594997806055,0.8097708032835513,0.548936170212766
0,random,lr,-,2016-09,0.7617118703768934,0.5881339490317747,0.28936170212765955
0,random,lr,-,2018-02,0.7605107159142727,0.7465438415531565,0.5425531914893617
0,sector,gat,sector,2015-08,0.5436598248024734,0.7493492317967625,0.6978723404255319
0,sector,gat,sector,2016-06,0.7113134415679392,0.6777637358674964,0.548936170212766
0,sector,gat,sector,2016-09,0.7677329165199014,0.6264316243095547,0.28936170212765955
0,sector,gat,sector,2018-02,0.6339078887368901,0.6424146371322255,0.5425531914893617
0,sector,gat,functional,2015-08,0.6039591205771213,0.7837325609152468,0.6978723404255319
0,sector,gat,functional,2016-06,0.790551411437765,0.7858668462696996,0.548936170212766
0,sector,gat,functional,2016-09,0.6876541035575906,0.512869220543228,0.28936170212765955
0,sector,gat,functional,2018-02,0.6426630186958505,0.6646333154461997,0.5425531914893617
0,sector,gat,knn,2015-08,0.7300111645482652,0.8483945718219206,0.6978723404255319
0,sector,gat,knn,2016-06,0.773347228316513,0.7801337173975711,0.548936170212766
0,sector,gat,knn,2016-09,0.66993219443466,0.4599549958759597,0.28936170212765955
0,sector,gat,knn,2018-02,0.7052986776105791,0.7373613066635534,0.5425531914893617
0,sector,gat,empty,2015-08,0.7113534867743043,0.8358084556449754,0.6978723404255319
0,sector,gat,empty,2016-06,0.8038247769489543,0.8206897437566124,0.548936170212766
0,sector,gat,empty,2016-09,0.6704165199013737,0.432332204445978,0.28936170212765955
0,sector,gat,empty,2018-02,0.7227177382580939,0.745008997648299,0.5425531914893617
0,sector,mlp,-,2015-08,0.6995233596702164,0.8379333458344715,0.6978723404255319
0,sector,mlp,-,2016-06,0.7872787772414802,0.8040870220428028,0.548936170212766
0,sector,mlp,-,2016-09,0.6572076435364566,0.41397487171396824,0.28936170212765955
0,sector,mlp,-,2018-02,0.7307067943456452,0.7425326850061482,0.5425531914893617
0,sector,lr,-,2015-08,0.7144881484026107,0.8267465373278297,0.6978723404255319
0,sector,lr,-,2016-06,0.7716286382916482,0.7607438419455907,0.548936170212766
0,sector,lr,-,2016-09,0.6701083127861923,0.43676969458100523,0.28936170212765955
0,sector,lr,-,2018-02,0.6991518467852257,0.6931116026996057,0.5425531914893617
0,loeo,gat,sector,2015-08,0.5399669357609068,0.7287836584889628,0.6978723404255319
0,loeo,gat,sector,2016-06,0.5987823606845107,0.6153921839471422,0.548936170212766
0,loeo,gat,sector,2016-09,0.3075136491722438,0.26105259768563227,0.28936170212765955
0,loeo,gat,sector,2018-02,0.5026538987688098,0.5272963264352489,0.5425531914893617
0,loeo,gat,functional,2015-08,0.5696925455170045,0.7678462344459855,0.6978723404255319
0,loeo,gat,functional,2016-06,0.5020568231680562,0.5362972918753457,0.548936170212766
0,loeo,gat,functional,2016-09,0.3653244980626981,0.23654147302524617,0.28936170212765955
0,loeo,gat,functional,2018-02,0.5834746922024624,0.6273829576305727,0.5425531914893617
0,loeo,gat,knn,2015-08,0.6958090003435247,0.8336246807415207,0.6978723404255319
0,loeo,gat,knn,2016-06,0.4845692555214275,0.5077075105910855,0.548936170212766
0,loeo,gat,knn,2016-09,0.460197252553716,0.31013834464884077,0.28936170212765955
0,loeo,gat,knn,2018-02,0.6268673050615595,0.6368231129871458,0.5425531914893617
0,loeo,gat,empty,2015-08,0.6463199931295087,0.8053287994923295,0.6978723404255319
0,loeo,gat,empty,2016-06,0.4822838964458096,0.5169796881710755,0.548936170212766
0,loeo,gat,empty,2016-09,0.4582379358929201,0.30214660164086155,0.28936170212765955
0,loeo,gat,empty,2018-02,0.6669402644778841,0.6985517943663888,0.5425531914893617
0,loeo,mlp,-,2015-08,0.659395396770869,0.8120590760359826,0.6978723404255319
0,loeo,mlp,-,2016-06,0.545122129589001,0.5489986512229066,0.548936170212766
0,loeo,mlp,-,2016-09,0.47323001056710107,0.31202608083709527,0.28936170212765955
0,loeo,mlp,-,2018-02,0.653953488372093,0.662766015729617,0.5425531914893617
0,loeo,lr,-,2015-08,0.6991368945379595,0.8340004955008108,0.6978723404255319
0,loeo,lr,-,2016-06,0.5488152698551996,0.5864335528701874,0.548936170212766
0,loeo,lr,-,2016-09,0.46589908418457204,0.29888008092867624,0.28936170212765955
0,loeo,lr,-,2018-02,0.641860465116279,0.6422092485515871,0.5425531914893617
1,random,gat,sector,2015-08,0.6586761422191687,0.8147050763058078,0.6978723404255319
1,random,gat,sector,2016-06,0.7556494076349276,0.7610770676150286,0.548936170212766
1,random,gat,sector,2016-09,0.8018338323353295,0.6820691434932036,0.28936170212765955
1,random,gat,sector,2018-02,0.6828180574555404,0.7006534769627515,0.5425531914893617
1,random,gat,functional,2015-08,0.6503134661628307,0.786766841756738,0.6978723404255319
1,random,gat,functional,2016-06,0.8219613865730584,0.8405717294267729,0.548936170212766
1,random,gat,functional,2016-09,0.7799841493483622,0.6572825904590516,0.28936170212765955
1,random,gat,functional,2018-02,0.7078522571819426,0.7386639978319123,0.5425531914893617
1,random,gat,knn,2015-08,0.7100008588114051,0.8192274230341403,0.6978723404255319
